part,regime,Ma,alpha,n_iters,Cd_mean,Cd_std,Cl_mean,Cl_std,Cs_mean,Cs_std,CmPitch_mean,CmPitch_std,CmRoll_mean,CmRoll_std,CmYaw_mean,CmYaw_std
all,supersonic,4,10,50,0.55021929904,0.0035276822565097374,0.8706267804800001,0.002826288250893633,-0.00120144212478,0.0003560986880947256,-0.42520130638000003,0.00031004187756020386,-0.0001906317586,1.7161880564484333e-05,-0.0010827897665800002,9.740171090235165e-05
all,supersonic,4,15,50,0.8698442883799999,0.0012253824392008787,1.6200627613999998,0.0008316138976320001,-0.0024061944892,0.0002952112668020198,-0.88128897184,0.00066250155787684,-0.0004360515223,4.288259798506445e-05,-0.0016287765661999998,0.00015991072203642767
all,supersonic,8,0,50,0.33404674188,0.006628615962606542,-0.00069038233853,0.0018975942486781868,0.000420864939004,0.0009180784808989787,0.000353084646954,0.0008919193193290913,3.92121864796e-07,1.3852195161690898e-07,0.00018528517853200001,0.00041250437429914735
all,supersonic,8,3,50,0.34790457219999993,0.012989413332823668,0.189718636,0.018945046955526224,0.00011672085754360002,0.0008841201019855359,-0.08578047919600001,0.012750158768709038,1.13491931428e-05,2.160868044178007e-05,0.000210880600194,0.0004116965214202457
all,supersonic,8,5,50,0.37617776318000007,0.02111651959100332,0.37515195724,0.030758396108207357,0.00044856380270399997,0.0006629744214361095,-0.18387138384,0.019439406704348034,3.56304841142e-05,3.421740931990155e-05,0.0004036820429364,0.0003910354800187712
all,supersonic,8,7,50,0.4403631988799999,0.025019344487642616,0.62373877252,0.033124796033754435,0.0010634672844,0.0010038173507218504,-0.32317963760000007,0.019846709619472838,6.271334058356e-05,5.986236865122648e-05,0.0005106849638367199,0.0004876337007877722
all,supersonic,8,10,50,0.618840509,0.013667454190194937,1.0690310834,0.030241845458926588,-0.0046498592798,0.0011306849196101778,-0.57547663166,0.011139753807919275,-0.0004296843841,0.00010025855920312088,-0.002436435931,0.0005688486896456437
all,supersonic,8,15,50,1.0541189149999999,0.005264813802629705,2.0815518244,0.023618665703797493,-0.0007462191339572002,0.002705156315029185,-1.1907526521999998,0.013568710668749696,-0.00044867349542900004,0.0002994958678970559,-0.00167271887387,0.0011162672700290156
head,supersonic,6,0,50,0.061640850758,3.2999409240272685e-05,8.133446847999997e-05,2.0741435427921475e-05,6.5031542916e-05,4.68523623453553e-05,-2.18210448798e-06,1.03437326993978e-06,1.4593417088000003e-08,8.36425201283458e-10,1.63382799028294e-06,2.14208997189271e-06
head,supersonic,12,0,50,0.066405484156,0.0007817192821286307,-0.00022819384276000007,5.6283662977315146e-05,-0.00021238459067999998,6.788680728299945e-05,3.40084554424e-06,1.9891121670805472e-06,-2.7145584534e-08,4.0589691303560075e-09,-1.11179411792e-06,1.997673463234195e-06
head,supersonic,20,0,50,0.05854002842400001,0.004449155923254364,-0.0002158574788,0.00015606377499558793,2.4675685301999982e-05,0.0009400986287629392,7.6864758006e-06,8.43857415013796e-06,-2.06938368961e-07,1.5660219940871045e-06,6.626617618926e-06,5.490895578289935e-05
head,supersonic,24,0,50,0.050070764303999996,0.0031833254358598936,0.0001428600623684,0.0001427416840921118,-9.785269361479999e-05,0.00022514736515767296,-4.10242938852e-06,2.4411164458587686e-06,3.6923525522199997e-09,8.518290903768374e-09,-3.65967956968e-06,4.687949813313707e-06
head,supersonic,26,0,50,0.04745959401,0.002153513809723528,-0.000442135585686,0.00019630929302899843,-0.0002609651589878,0.00018722957414967273,8.481580197668e-06,5.9329092347353786e-06,1.4192588587659999e-08,8.285295287373676e-09,-2.2487266929879996e-06,3.3001180553673653e-06
stage2up,supersonic,6,0,50,0.16692677162,0.0010417409038801038,6.93226408962e-05,0.00017192627746052784,5.29461453478e-05,0.0002199658034491792,-2.5994776532e-05,8.445425425321747e-06,-7.4795793128e-10,5.173263397917603e-09,6.3882276522e-07,1.2945888770889852e-05
stage2up,supersonic,6,3,50,0.1741534313,0.0008504865138785881,0.10762850596,0.0003350831323827986,5.0547793502e-05,0.00019165668905940243,-0.021665690268000005,0.00010856174292557077,7.8453904079e-08,5.033687277614511e-07,1.30256791776e-06,9.573384804042273e-06
stage2up,supersonic,6,5,50,0.18975075700000002,0.0016354434319806644,0.1933546264,0.005913243817584391,4.463170155199999e-05,0.00015473717430534534,-0.042119690409999994,0.001996701713561363,-4.175577468122e-07,7.07479606486544e-07,-4.86927473194e-06,8.073715510760984e-06
stage2up,supersonic,6,10,50,0.25764475314,0.0020320995444242183,0.43988236853999996,0.009220669805992465,1.7107892710999995e-05,0.0001866209717723719,-0.106350488708,0.003868877174141009,2.60458689536e-06,4.944649130562981e-06,1.4720089529600001e-05,2.8051246812102226e-05
stage2up,supersonic,12,0,50,0.16283183324,0.003255960563048235,0.000199327567748,0.0005810025831731407,-0.000391808438774,0.0005423005379059583,-7.68308945156e-06,3.285516694468763e-05,-1.6040441014200001e-09,1.0237650336997615e-08,-4.85624620532e-05,7.938656446071721e-05
stage2up,supersonic,12,3,50,0.17117177184,0.0016303392588082396,0.11427033512,0.0037869572407027356,-0.000294270134518,0.0004166424522144558,-0.02304705031,0.00023585152015822457,-6.851459376459999e-07,3.685003682274563e-06,-1.2810633405200002e-05,7.058327447880268e-05
stage2up,supersonic,12,10,50,0.26249070275999997,0.0031303866547466755,0.49174214670000005,0.006449308256738731,0.000523193099482,0.0003904426683940203,-0.12339095069999999,0.0019982584758584093,9.17425141762e-06,7.740090066816595e-06,5.2070569668400005e-05,4.391021732396203e-05
stage3up,supersonic,15,0,50,0.15846207926,0.0051774886256129755,0.00038463456876039996,0.0010924853776093455,-8.947920908800002e-05,0.00042732293281957446,-4.107117394399999e-05,8.341616956649091e-05,3.3982443591239992e-09,1.778526894990062e-08,-6.78244084e-07,2.2894631714206713e-05
stage3up,supersonic,15,3,50,0.16417537088,0.0034559724995473933,0.08337145214400002,0.007697061552811132,-5.647154220000001e-05,0.0005372243846540056,-0.011563047006000002,0.0006711663311518377,-3.57154089424e-07,2.81192206603984e-06,-6.7060924913999995e-06,5.381249653226491e-05
stage3up,supersonic,15,10,50,0.22589084604,0.0050478750577148505,0.29946514995999995,0.008268026211108673,0.00015959756565004,0.00030727556496460833,-0.046282553180000005,0.0008635168041963606,3.8041922965200002e-06,7.051743237215498e-06,2.141928380482e-05,4.003219854145002e-05
stage3up,supersonic,21,0,50,0.13895339548000002,0.010192955338679222,0.00044016486159,0.0004576406628651478,0.000589048744222,0.0011094009113024766,-2.5316333234e-05,7.4001032932737e-05,-2.2443847121239998e-09,1.2354855667332809e-08,1.7820985998e-06,0.0001264764095193963
stage3up,supersonic,21,3,50,0.14538993106,0.006243770328436361,0.069925469454,0.005407599223157829,-0.00113935615584,0.0002536429140488282,-0.009840418785,0.0006187673499844648,-4.27111572774e-06,1.811699247083069e-06,-8.1607118144e-05,3.4494991649312414e-05
stage3up,supersonic,21,10,50,0.18885728236000002,0.006451437174301469,0.25175501724,0.009141650262946995,-0.0011960710975399999,0.0005822827335263908,-0.040022588472,0.0017280355900835581,-1.9035451840600003e-05,8.441809412376993e-06,-0.00010792869960399999,4.777639107708547e-05
stage3up,supersonic,27,0,50,0.12371867700000003,0.0032740013252684887,-0.000255294803056,0.0003408863427013377,-0.0014836290501199997,0.0005163044728369061,-7.442180782539999e-06,4.544283709770987e-05,9.38140788156e-09,1.8283283779440902e-08,-0.000171036894758,5.51812207905876e-05
stage3up,supersonic,27,3,50,0.12603864264,0.0032101737163751603,0.060011389096000005,0.003353793127650988,0.0005620313697320001,0.0006406024075875133,-0.007841567449800002,0.00084852195186902,4.24003361372e-06,3.0660646852224053e-06,8.044658266247999e-05,5.84713155612987e-05
stage3up,supersonic,27,10,50,0.17086734276,0.013085067814608779,0.23001023578,0.015301080282055403,0.000662230952574,0.0005263079634009705,-0.035518170409999994,0.0014644862961481642,7.89496321292e-06,1.0611263634222182e-05,4.4783288975e-05,6.013770813947771e-05
