t, с;m, кг;V_x, м/с;V_y, м/с;x, м;y, м;h, м;V, м/с;theta, град.;Theta, град.;Theta_с, град.;alpha, град.;phi, град.
168.90000000;2505.57470930;209.25916879;294.01244809;10714.09545626;1763651.57452713;25684.11802495;360.87770692;47.14580137;54.90724719;54.55918247;-7.41338109;0.34806472
169.00000000;2505.28197674;209.53164631;294.14941197;10735.03499558;1763680.98262090;25713.65290258;361.14732086;47.11813566;54.88530276;54.53656361;-7.41842796;0.34873915
169.10000000;2504.98924419;209.80429618;294.28628349;10756.00179126;1763710.40440644;25743.20188231;361.41701585;47.09046994;54.86336219;54.51394776;-7.42347782;0.34941443
169.20000000;2504.69651163;210.07711838;294.42306255;10776.99586056;1763739.83987451;25772.76495595;361.68679189;47.06280422;54.84142548;54.49133491;-7.42853069;0.35009057
169.30000000;2504.40377907;210.35011288;294.55974906;10798.01722068;1763769.28901586;25802.34211530;361.95664900;47.03513850;54.81949264;54.46872506;-7.43358656;0.35076758
169.40000000;2504.11104651;210.62327966;294.69634295;10819.06588887;1763798.75182124;25831.93335217;362.22658721;47.00747278;54.79756366;54.44611821;-7.43864543;0.35144545
169.50000000;2503.81831395;210.89661869;294.83284410;10840.14188236;1763828.22828136;25861.53865835;362.49660652;46.97980706;54.77563854;54.42351437;-7.44370731;0.35212417
169.60000000;2503.52558140;211.17012995;294.96925245;10861.24521835;1763857.71838696;25891.15802562;362.76670695;46.95214134;54.75371729;54.40091353;-7.44877218;0.35280377
169.70000000;2503.23284884;211.44381341;295.10556790;10882.37591409;1763887.22212876;25920.79144576;363.03688853;46.92447562;54.73179991;54.37831569;-7.45384006;0.35348422
169.80000000;2502.94011628;211.71766904;295.24179035;10903.53398677;1763916.73949744;25950.43891054;363.30715126;46.89680990;54.70988639;54.35572085;-7.45891094;0.35416554
169.90000000;2502.64738372;211.99169682;295.37791972;10924.71945363;1763946.27048372;25980.10041173;363.57749515;46.86914419;54.68797673;54.33312901;-7.46398483;0.35484772
170.00000000;2502.35465116;212.26589673;295.51395593;10945.93233188;1763975.81507828;26009.77594108;363.84792024;46.84147847;54.66607095;54.31054018;-7.46906171;0.35553077
170.10000000;2502.06191860;212.54026874;295.64989887;10967.17263872;1764005.37327180;26039.46549035;364.11842653;46.81381275;54.64416903;54.28795435;-7.47414160;0.35621468
170.20000000;2501.76918605;212.81481281;295.78574847;10988.44039136;1764034.94505495;26069.16905127;364.38901404;46.78614703;54.62227097;54.26537152;-7.47922449;0.35689946
170.30000000;2501.47645349;213.08952894;295.92150463;11009.73560701;1764064.53041838;26098.88661559;364.65968278;46.75848131;54.60037679;54.24279169;-7.48431038;0.35758510
170.40000000;2501.18372093;213.36441708;296.05716727;11031.05830288;1764094.12935276;26128.61817503;364.93043278;46.73081559;54.57848648;54.22021486;-7.48939927;0.35827161
170.50000000;2500.89098837;213.63947722;296.19273629;11052.40849616;1764123.74184871;26158.36372132;365.20126404;46.70314987;54.55660003;54.19764104;-7.49449117;0.35895899
170.60000000;2500.59825581;213.91470933;296.32821160;11073.78620406;1764153.36789689;26188.12324617;365.47217659;46.67548415;54.53471746;54.17507022;-7.49958607;0.35964723
170.70000000;2500.30552326;214.19011338;296.46359312;11095.19144376;1764183.00748791;26217.89674129;365.74317043;46.64781843;54.51283875;54.15250240;-7.50468397;0.36033635
170.80000000;2500.01279070;214.46568935;296.59888076;11116.62423246;1764212.66061239;26247.68419838;366.01424559;46.62015272;54.49096392;54.12993759;-7.50978487;0.36102633
170.90000000;2499.72005814;214.74143721;296.73407443;11138.08458736;1764242.32726093;26277.48560915;366.28540209;46.59248700;54.46909295;54.10737577;-7.51488878;0.36171718
171.00000000;2499.42732558;215.01735694;296.86917403;11159.57252564;1764272.00742414;26307.30096527;366.55663993;46.56482128;54.44722586;54.08481696;-7.51999568;0.36240890
171.10000000;2499.13459302;215.29344850;297.00417948;11181.08806448;1764301.70109260;26337.13025843;366.82795913;46.53715556;54.42536264;54.06226115;-7.52510559;0.36310149
171.20000000;2498.84186047;215.56971188;297.13909069;11202.63122106;1764331.40825689;26366.97348030;367.09935971;46.50948984;54.40350330;54.03970834;-7.53021850;0.36379495
171.30000000;2498.54912791;215.84614704;297.27390758;11224.20201258;1764361.12890759;26396.83062255;367.37084168;46.48182412;54.38164782;54.01715854;-7.53533442;0.36448929
171.40000000;2498.25639535;216.12275397;297.40863004;11245.80045620;1764390.86303526;26426.70167684;367.64240507;46.45415840;54.35979622;53.99461173;-7.54045333;0.36518449
171.50000000;2497.96366279;216.39953262;297.54325800;11267.42656910;1764420.61063045;26456.58663482;367.91404988;46.42649268;54.33794850;53.97206793;-7.54557525;0.36588057
171.60000000;2497.67093023;216.67648299;297.67779135;11289.08036844;1764450.37168370;26486.48548815;368.18577613;46.39882696;54.31610465;53.94952713;-7.55070017;0.36657752
