k1.10,,k1.12,,k1.14,,k1.16,,k1.18,,k1.20,,k1.22,,k1.25,,k1.30,,k1.45,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
276.6918578805184,35.88790479772936,233.6798550080361,29.162192661491634,275.57022193345415,31.14899292138289,284.7348083301987,29.869370447628487,289.0572102725438,28.13151865403686,247.6387511541223,23.138528878706012,278.6068460828232,23.978729952467255,297.4558013883664,23.615566118387306,305.13627192832473,21.06555414971104,332.8078514516294,17.97797763567349
263.26642273364564,34.16544130219198,211.83531101460176,26.868994289231612,256.256198064494,29.5472420750265,266.64500906199777,28.439968539479533,258.9576992784598,25.96108470403173,221.19823547515642,21.42735013507506,253.41791197893514,22.55548336353999,269.8457750572787,21.96320486954143,282.354751564477,19.81363061245426,308.9525698457751,17.18941285093868
247.52932325684776,32.67619601272099,191.25602708340455,24.9215196799234,247.6729473720206,28.283007899326332,250.89423109804056,26.89293164176042,233.59094484150052,23.786547207878808,198.21153780391887,19.308552474096366,231.69647436993466,20.782409465513112,251.79701125055567,20.707177786136853,257.16581746058887,18.39038402352699,295.80070444208866,16.62278152036385
229.37113155285022,30.957836063331392,169.41148308997026,22.62832130766337,234.41165407105973,27.25404370276647,231.648599664877,25.580138836644664,213.0937318332592,22.185822248059367,177.67328933419964,17.53445268953253,208.8055261088124,19.068153062271314,226.5533631980303,19.05276476421708,236.80538932394074,17.367575146188827,285.04257429128336,16.16968163321136
212.28670109085937,28.776117361419825,155.99972643025677,20.963649420374104,216.32185480285875,25.824641794617513,218.26419997948227,24.031050165851656,192.51444790206205,20.23834763875115,154.74130561159933,15.646821461546352,184.6903532469309,17.181547720822074,201.26867968402695,17.224976917552915,213.98283349861498,15.942276784187662,268.3274629825941,15.548336353999247
197.746469240502,27.34363779366002,145.02274048490239,19.585883801251576,204.12064425674515,24.274527237287554,197.75330848408163,22.372533597784084,168.3719180658619,18.236159080805656,136.5831139076018,13.928461512156751,160.5751803850494,15.294942379372841,172.3797148035427,15.169100297507093,186.35912868036792,14.232123927093667,251.55763772526757,14.695824641794616
175.9292822213863,25.166022637896244,134.10046848818521,18.439284615121565,183.60975276134462,22.616010669219982,185.60681188660533,21.05358547344664,150.2000478747051,16.46000752316794,120.83233594364464,12.381424614437641,144.8517593954109,13.863488698149986,154.28991553534178,13.73969838935814,163.55025134220153,12.864617173340626,232.44879116369725,13.960947919160134
157.5932701843176,22.696371781280988,123.10980405567142,17.003727387750914,170.22535307594978,21.066921998426977,169.88339089696677,19.622131792223783,136.8430051636289,15.026502068871181,101.54566904900318,10.895256984577507,121.89241869849192,11.860274253667548,137.41066238074066,12.424853811168482,139.50347091611664,11.266969873132034,208.53879560920564,12.941216701432815
136.90455835584584,20.286564305987753,112.13281811031703,15.625961768628386,156.85463187771427,19.57562493588209,157.68218035085312,18.07201723489382,119.90903806039051,13.480491057689015,94.18664295728894,9.803371747084768,101.40888417740999,10.317340902096234,115.75761720753687,10.940737954382243,120.27151797011251,10.011968676264402,187.02253530759498,12.035016927127863
118.59590329309577,17.932496665868754,102.32534281708442,14.189378654720784,145.91868139383786,18.371234141503948,140.7755702219334,16.641589440207916,104.19929555791128,12.10682898471429,79.71480354272819,8.659850220565602,84.4749170741716,8.77132989091406,100.06155319221696,9.624867489655642,103.40594330267072,8.754915706322876,163.057825804466,10.784119276408028
103.90520808398591,15.864309407379544,87.7851109667271,12.756899086960985,132.65738809287694,17.342269944944086,128.6017166501385,15.207058099374208,93.22230961255687,10.729063365591763,70.04411312108883,7.801183189139273,71.09051738877682,7.222241220121049,80.76120781041615,8.080908251547378,87.81930718462539,7.901378107581294,139.09311630133703,9.5332216256882
86.82077762199503,13.682590705467973,79.215538761413,11.550456519508941,124.07413740040352,16.078035769243918,111.65407105974083,13.603255479943918,76.34305645795575,9.414218787402106,,,,,67.49991450945524,7.051944054987516,68.61471121293988,6.761960127209932,119.95691276544812,8.682761686557463
75.77539924084397,12.015867045104812,73.06705878329856,10.57312861197552,111.94131929008654,14.816879253154603,99.50757446226447,12.284307355606465,69.05242280203814,8.611291591150014,,,,,,,,,99.59648462880008,7.659952809219291
63.53315323325242,10.292377663030472,64.62059296241836,9.886810518756626,100.9643333447321,13.439113634032076,86.19156721266631,11.024176726054094,,,,,,,,,,,85.16568067571728,6.689806107444511
,,,,88.87255069589304,12.351331942687139,72.87555996306807,9.76404609650173,,,,,,,,,,,68.38217693123144,5.779502786991763
,,,,79.17450329993505,11.377081694764556,,,,,,,,,,,,,,
,,,,73.03970180897991,10.457545395479265,,,,,,,,,,,,,,
,,,,65.7490681530623,9.654618199227166,,,,,,,,,,,,,,
